combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
162,0.6624765980208612,0.6587424224414596,0.3,0.001,5,100,100
163,0.7216724614424535,0.7030785688814929,0.3,0.001,8,1,10
164,0.7149564648896021,0.6938072031380007,0.3,0.001,8,1,50
165,0.7130545897595911,0.6908356115535481,0.3,0.001,8,1,100
166,0.7029211613325013,0.6942826577915131,0.3,0.001,8,10,10
167,0.6976315711271582,0.6883394746226079,0.3,0.001,8,10,50
168,0.6950759264212059,0.6847735647212647,0.3,0.001,8,10,100
169,0.674927936762652,0.6697967431356234,0.3,0.001,8,100,10
170,0.6661911978841639,0.6626649233329371,0.3,0.001,8,100,50
171,0.6637841371727438,0.6593367407583501,0.3,0.001,8,100,100
172,0.7382247184333304,0.7036728871983835,0.3,0.001,10,1,10
173,0.7327271106356423,0.6972542493759658,0.3,0.001,10,1,50
174,0.730944102701257,0.6947581124450256,0.3,0.001,10,1,100
175,0.7047041692668866,0.6940449304647569,0.3,0.001,10,10,10
176,0.7004843838221747,0.6890526566028765,0.3,0.001,10,10,50
177,0.6970372351490297,0.6853678830381552,0.3,0.001,10,10,100
178,0.6755519895396868,0.6701533341257577,0.3,0.001,10,100,10
179,0.666339781878696,0.6627837869963152,0.3,0.001,10,100,50
180,0.6639624379661823,0.6594556044217282,0.3,0.001,10,100,100
181,0.6746010519746813,0.6706287887792701,0.3,0.01,3,1,10
182,0.6767406614959437,0.6745512896707476,0.3,0.01,3,1,50
183,0.6830703396630114,0.6797812908593843,0.3,0.01,3,1,100
184,0.6748982199637455,0.671579698086295,0.3,0.01,3,10,10
185,0.6759085911265639,0.6728871983834542,0.3,0.01,3,10,50
186,0.6819411013045674,0.6778794722453346,0.3,0.01,3,10,100
187,0.6684199578021456,0.6643290146202306,0.3,0.01,3,100,10
188,0.6667558170633859,0.6620706050160466,0.3,0.01,3,100,50
189,0.6719265400731034,0.6675383335314394,0.3,0.01,3,100,100
190,0.6993848622626371,0.6924997028408415,0.3,0.01,5,1,10
191,0.7004843838221747,0.6910733388803043,0.3,0.01,5,1,50
192,0.7086565035214407,0.6984428860097468,0.3,0.01,5,1,100
193,0.6947490416332353,0.6883394746226079,0.3,0.01,5,10,10
194,0.6954919616058958,0.6883394746226079,0.3,0.01,5,10,50
195,0.7034263469139105,0.6945203851182693,0.3,0.01,5,10,100
196,0.6756411399364061,0.6707476524426483,0.3,0.01,5,100,10
197,0.673382663219518,0.6696778794722453,0.3,0.01,5,100,50
198,0.6793854565986152,0.67502674432426,0.3,0.01,5,100,100
199,0.7241983893494993,0.7039106145251397,0.3,0.01,8,1,10
200,0.7281210068051469,0.7037917508617616,0.3,0.01,8,1,50
201,0.737570948857389,0.7090217520503982,0.3,0.01,8,1,100
202,0.7054768060384535,0.696422203732319,0.3,0.01,8,10,10
203,0.7095182906897269,0.697491976702722,0.3,0.01,8,10,50
204,0.7171555080086773,0.7011767502674432,0.3,0.01,8,10,100
205,0.6764732103057859,0.6706287887792701,0.3,0.01,8,100,10
206,0.674303883985617,0.6709853797694045,0.3,0.01,8,100,50
207,0.6810793141362812,0.676096517294663,0.3,0.01,8,100,100
208,0.7413152655195983,0.7048615238321645,0.3,0.01,10,1,10
209,0.7484472972571394,0.7056935694758113,0.3,0.01,10,1,50
210,0.7624141927431577,0.7117556163080946,0.3,0.01,10,1,100
211,0.7072598139728389,0.696422203732319,0.3,0.01,10,10,10
212,0.711776767406615,0.698680613336503,0.3,0.01,10,10,50
213,0.7198597367091617,0.7026031142279805,0.3,0.01,10,10,100
214,0.6764434935068795,0.6706287887792701,0.3,0.01,10,100,10
215,0.674303883985617,0.6709853797694045,0.3,0.01,10,100,50
216,0.6812873317286262,0.6759776536312849,0.3,0.01,10,100,100
217,0.6922231137261894,0.6900035659099013,0.3,0.1,3,1,10
218,0.7417015839053818,0.7319624390823726,0.3,0.1,3,1,50
219,0.7687438709102256,0.759657672649471,0.3,0.1,3,1,100
220,0.6913613265579032,0.6883394746226079,0.3,0.1,3,10,10
221,0.7403346111556863,0.7308926661119696,0.3,0.1,3,10,50
222,0.7675254821550622,0.7585878996790681,0.3,0.1,3,10,100
223,0.6856259843689638,0.6808510638297872,0.3,0.1,3,100,10
224,0.7262785652729488,0.7198383454178058,0.3,0.1,3,100,50
225,0.7521618971204422,0.7434922144300488,0.3,0.1,3,100,100
226,0.7189979495408755,0.7116367526447165,0.3,0.1,5,1,10
227,0.771596683605242,0.7522881255200285,0.3,0.1,5,1,50
228,0.7970342634691391,0.767502674432426,0.3,0.1,5,1,100
229,0.7147781640961636,0.7067633424462142,0.3,0.1,5,10,10
230,0.7641674838786366,0.749435397598954,0.3,0.1,5,10,50
231,0.7863064990639208,0.7672649471056698,0.3,0.1,5,10,100
232,0.6878844610858519,0.6829906097705931,0.3,0.1,5,100,10
233,0.736441710498945,0.7242363009627957,0.3,0.1,5,100,50
234,0.7624736263409706,0.7525258528467847,0.3,0.1,5,100,100
235,0.7477340940833853,0.7209081183882087,0.3,0.1,8,1,10
236,0.8203322338117738,0.7558540354213716,0.3,0.1,8,1,50
237,0.8629461234435827,0.770949720670391,0.3,0.1,8,1,100
238,0.7266054500609195,0.7143706169024129,0.3,0.1,8,10,10
239,0.7790258833318475,0.7534767621538095,0.3,0.1,8,10,50
240,0.8032450744405812,0.7688101747295851,0.3,0.1,8,10,100
241,0.6886570978574188,0.6827528824438369,0.3,0.1,8,100,10
242,0.7389676384059909,0.7270890288838702,0.3,0.1,8,100,50
243,0.7644943686666072,0.7532390348270533,0.3,0.1,8,100,100
244,0.7707943300347686,0.7209081183882087,0.3,0.1,10,1,10
245,0.8649371489703129,0.7530013075002971,0.3,0.1,10,1,50
246,0.9160797598882648,0.7677404017591822,0.3,0.1,10,1,100
247,0.7292502451635909,0.7142517532390348,0.3,0.1,10,10,10
248,0.7846126415262548,0.755140853441103,0.3,0.1,10,10,50
249,0.8103176725803096,0.7688101747295851,0.3,0.1,10,10,100
250,0.6888353986508573,0.6827528824438369,0.3,0.1,10,100,10
251,0.7399185759709964,0.7282776655176513,0.3,0.1,10,100,50
252,0.7644646518677009,0.7525258528467847,0.3,0.1,10,100,100
253,0.7641674838786366,0.7587067633424462,0.3,1.0,3,1,10
254,0.8038096936198033,0.7764174491857839,0.3,1.0,3,1,50
255,0.8258001248105554,0.7790324497801022,0.3,1.0,3,1,100
256,0.7632759799114439,0.7581124450255556,0.3,1.0,3,10,10
257,0.7957861579150693,0.7784381314632117,0.3,1.0,3,10,50
258,0.8064247719235684,0.7798644954237489,0.3,1.0,3,10,100
259,0.7480906956702624,0.7442053964103174,0.3,1.0,3,100,10
260,0.7727259219636861,0.7634613098775704,0.3,1.0,3,100,50
261,0.7734985587352531,0.7646499465113514,0.3,1.0,3,100,100
262,0.7901102493239428,0.762985855224058,0.3,1.0,5,1,10
263,0.8614008499004487,0.7692856293830976,0.3,1.0,5,1,50
264,0.9096906481233842,0.7663140377986449,0.3,1.0,5,1,100
265,0.7816409616356126,0.7657197194817544,0.3,1.0,5,10,10
266,0.8226798609253811,0.7734458576013312,0.3,1.0,5,10,50
267,0.8468396184363021,0.7716629026506597,0.3,1.0,5,10,100
268,0.7594722296514219,0.7559728990847497,0.3,1.0,5,100,10
269,0.7778372113755906,0.7690479020563413,0.3,1.0,5,100,50
270,0.7776291937832457,0.76976108403661,0.3,1.0,5,100,100
271,0.8550711717333809,0.7576369903720432,0.3,1.0,8,1,10
272,0.9687379275504443,0.7564483537382622,0.3,1.0,8,1,50
273,0.9970877537071706,0.7554974444312373,0.3,1.0,8,1,100
274,0.7976880330450804,0.7631047188874361,0.3,1.0,8,10,10
275,0.8631541410359276,0.7705931296802567,0.3,1.0,8,10,50
276,0.8995275028973879,0.7678592654225603,0.3,1.0,8,10,100
277,0.759620813645954,0.755140853441103,0.3,1.0,8,100,10
278,0.7781046625657484,0.7656008558183763,0.3,1.0,8,100,50
279,0.7781640961635613,0.7661951741352668,0.3,1.0,8,100,100
280,0.9078779233900924,0.7464638060145014,0.3,1.0,10,1,10
281,0.9956019137618496,0.7507428978961131,0.3,1.0,10,1,50
282,0.9999405664021872,0.7553785807678592,0.3,1.0,10,1,100
283,0.8045228967935574,0.7622726732437893,0.3,1.0,10,10,10
284,0.8811030875754063,0.7719006299774159,0.3,1.0,10,10,50
285,0.918486820599685,0.7670272197789136,0.3,1.0,10,10,100
286,0.7600368488306439,0.7534767621538095,0.3,1.0,10,100,10
287,0.7780155121690292,0.7663140377986449,0.3,1.0,10,100,50
288,0.7781343793646548,0.7665517651254011,0.3,1.0,10,100,100
289,0.6997414638495141,0.6944015214548912,0.5,0.001,3,1,10
290,0.6994740126593564,0.6923808391774634,0.5,0.001,3,1,50
291,0.7003060830287361,0.6935694758112445,0.5,0.001,3,1,100
292,0.7010192862024903,0.6945203851182693,0.5,0.001,3,10,10
293,0.6978395887195031,0.6915487935338167,0.5,0.001,3,10,50
294,0.6994442958604499,0.6935694758112445,0.5,0.001,3,10,100
295,0.6948084752310482,0.6904790205634138,0.5,0.001,3,100,10
296,0.6876467266946005,0.6825151551170807,0.5,0.001,3,100,50
297,0.6888353986508573,0.685130155711399,0.5,0.001,3,100,100
298,0.73341059701049,0.7270890288838702,0.5,0.001,5,1,10
299,0.7377789664497341,0.7297040294781885,0.5,0.001,5,1,50
300,0.7382247184333304,0.729109711161298,0.5,0.001,5,1,100
301,0.729814864342813,0.7232853916557709,0.5,0.001,5,10,10
302,0.7331728626192386,0.7248306192796862,0.5,0.001,5,10,50
303,0.7340940833853378,0.7259003922500892,0.5,0.001,5,10,100
304,0.703604647707349,0.6982051586829906,0.5,0.001,5,100,10
305,0.7026239933434371,0.6978485676928563,0.5,0.001,5,100,50
306,0.7042287004843838,0.7012956139308213,0.5,0.001,5,100,100
307,0.7716858340019613,0.7431356234399145,0.5,0.001,8,1,10
308,0.7724881875724346,0.7458694876976109,0.5,0.001,8,1,50
309,0.7753410002674512,0.7469392606680137,0.5,0.001,8,1,100
310,0.7537071706635761,0.7363603946273625,0.5,0.001,8,10,10
311,0.7561736649728091,0.7368358492808749,0.5,0.001,8,10,50
312,0.7571840361356275,0.738143349578034,0.5,0.001,8,10,100
313,0.7096371578853526,0.7022465232378462,0.5,0.001,8,100,10
314,0.7090428219072241,0.7034351598716272,0.5,0.001,8,100,50
315,0.7104692282547324,0.705455842149055,0.5,0.001,8,100,100
316,0.7992630233871207,0.7442053964103174,0.5,0.001,10,1,10
317,0.8018483848919794,0.7499108522524665,0.5,0.001,10,1,50
318,0.804493179994651,0.7509806252228693,0.5,0.001,10,1,100
319,0.759620813645954,0.7394508498751932,0.5,0.001,10,10,10
320,0.7615524055748715,0.7389753952216808,0.5,0.001,10,10,50
321,0.7633354135092568,0.7411149411624867,0.5,0.001,10,10,100
322,0.7102612106623875,0.7030785688814929,0.5,0.001,10,100,10
323,0.7096965914831654,0.7039106145251397,0.5,0.001,10,100,50
324,0.711212148227393,0.7058124331391894,0.5,0.001,10,100,100
325,0.7047636028646994,0.7004635682871746,0.5,0.01,3,1,10
326,0.7094291402930076,0.7045049328420302,0.5,0.01,3,1,50
327,0.7191465335354076,0.7162724355164626,0.5,0.01,3,1,100
328,0.7013164541915545,0.6968976583858314,0.5,0.01,3,10,10
329,0.7089239547115984,0.7047426601687864,0.5,0.01,3,10,50
330,0.718611631155092,0.7154403898728159,0.5,0.01,3,10,100
331,0.6961160143829307,0.6914299298704386,0.5,0.01,3,100,10
332,0.6942438560518261,0.6885772019493641,0.5,0.01,3,100,50
333,0.7042584172832902,0.6980862950196125,0.5,0.01,3,100,100
334,0.7351044545481561,0.7263758469036016,0.5,0.01,5,1,10
335,0.7433954414430477,0.7351717579935814,0.5,0.01,5,1,50
336,0.7508246411696532,0.740520622845596,0.5,0.01,5,1,100
337,0.7314790050815726,0.7239985736360395,0.5,0.01,5,10,10
338,0.7397997087753707,0.732437893735885,0.5,0.01,5,10,50
339,0.747496359692134,0.7383810769047902,0.5,0.01,5,10,100
340,0.7073192475706517,0.700939022940687,0.5,0.01,5,100,10
341,0.7133220409497489,0.7071199334363485,0.5,0.01,5,100,50
342,0.7196517191168167,0.7129442529418757,0.5,0.01,5,100,100
343,0.7718344179964934,0.743729941756805,0.5,0.01,8,1,10
344,0.7826513327984309,0.7526447165101628,0.5,0.01,8,1,50
345,0.7920418412528603,0.7563294900748841,0.5,0.01,8,1,100
346,0.7555198953968678,0.7375490312611435,0.5,0.01,8,10,10
347,0.7622358919497192,0.7452751693807204,0.5,0.01,8,10,50
348,0.7696650916763246,0.7507428978961131,0.5,0.01,8,10,100
349,0.7149564648896021,0.707714251753239,0.5,0.01,8,100,10
350,0.7190276663397819,0.7117556163080946,0.5,0.01,8,100,50
351,0.7260408308816975,0.7175799358136218,0.5,0.01,8,100,100
352,0.8014323497072895,0.7457506240342328,0.5,0.01,10,1,10
353,0.8146266084217408,0.753833353143944,0.5,0.01,10,1,50
354,0.827107663962438,0.7579935813621775,0.5,0.01,10,1,100
355,0.7609580695967431,0.7402828955188399,0.5,0.01,10,10,10
356,0.7690707556981962,0.7475335789849044,0.5,0.01,10,10,50
